sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_index,patient_id,slice_index
100.26434,187.71187,22.829632,0.3626796043865947,310.47433,344.33948,17.55973,0.46583230934800113,122.09509,109.14054,92.340576,331.52112,272.17578,526.02435,100.26434,310.47433,122,2ABA027,52
112.14491,205.619,22.038202,0.33255640345610843,307.21045,347.30945,17.485134,0.4807298113977333,124.28592,112.24126,103.72144,330.24716,281.952,560.6009,112.14491,307.21045,123,2ABA027,53
118.14583,210.47241,21.835566,0.3292618761585958,300.44547,339.35638,17.686346,0.49236900063999794,120.320984,112.621025,114.575874,332.6797,194.56125,460.70248,118.14583,300.44547,124,2ABA027,54
135.1883,236.22653,20.832893,0.3358173888798898,290.91623,331.68295,17.885004,0.5078504140536417,117.89613,115.297676,137.84363,331.26883,188.36987,428.50656,135.1883,290.91623,125,2ABA027,55
159.8028,265.96506,19.802975,0.33673306025701605,277.9252,320.93445,18.17114,0.5227361075890126,116.620415,114.92059,173.30777,325.53763,169.60141,395.4672,159.8028,277.9252,126,2ABA027,56
146.64824,255.14684,20.163662,0.3698513382433327,256.32513,302.2001,18.693575,0.533366331167544,113.16127,111.01494,158.99893,311.20923,189.68022,389.96353,146.64824,256.32513,127,2ABA027,57
119.67645,219.98167,21.451738,0.40596570231421825,234.7995,282.0265,19.293669,0.5429230704092775,105.47977,105.92629,123.63422,293.96948,232.66849,442.3311,119.67645,234.7995,128,2ABA027,58
82.11034,148.18678,24.883278,0.43772347782088294,205.94214,250.91417,20.308964,0.5504514943361631,103.22712,103.68731,63.285625,267.02237,220.59248,430.14517,82.11034,205.94214,129,2ABA027,59
65.346664,116.93608,26.940498,0.45203204120802376,193.9918,238.586,20.746567,0.5526741990324049,84.03743,99.29919,47.802593,252.96219,198.71112,403.93256,65.346664,193.9918,130,2ABA027,60
65.49139,118.795334,26.803482,0.4504042977805912,188.74026,235.57231,20.856983,0.5464261446416937,85.74484,91.325615,46.445404,247.20012,214.39967,433.64444,65.49139,188.74026,131,2ABA027,61
